node_id,metadata_0,metadata_1,metadata_2,lawful_split
242,7.0,246.0,61.5,0
425,7.0,429.0,107.25,0
426,7.0,430.0,107.5,0
757,8.0,84.0,21.0,0
758,8.0,85.0,21.25,0
759,8.0,86.0,21.5,0
760,8.0,87.0,21.75,0
761,8.0,88.0,22.0,0
762,8.0,89.0,22.25,0
763,8.0,90.0,22.5,0
764,8.0,91.0,22.75,0
765,8.0,92.0,23.0,0
766,8.0,93.0,23.25,0
767,8.0,94.0,23.5,0
768,8.0,95.0,23.75,0
769,8.0,96.0,24.0,0
770,8.0,97.0,24.25,0
771,8.0,98.0,24.5,0
772,8.0,99.0,24.75,0
773,8.0,100.0,25.0,0
774,8.0,101.0,25.25,0
775,8.0,102.0,25.5,0
776,8.0,103.0,25.75,0
777,8.0,104.0,26.0,0
778,8.0,105.0,26.25,0
779,8.0,106.0,26.5,0
780,8.0,107.0,26.75,0
781,8.0,108.0,27.0,0
965,8.0,292.0,73.0,0
966,8.0,293.0,73.25,0
967,8.0,294.0,73.5,0
968,8.0,295.0,73.75,0
969,8.0,296.0,74.0,0
970,8.0,297.0,74.25,0
971,8.0,298.0,74.5,0
972,8.0,299.0,74.75,0
973,8.0,300.0,75.0,0
974,8.0,301.0,75.25,0
975,8.0,302.0,75.5,0
976,8.0,303.0,75.75,0
977,8.0,304.0,76.0,0
978,8.0,305.0,76.25,0
979,8.0,306.0,76.5,0
980,8.0,307.0,76.75,0
981,8.0,308.0,77.0,0
982,8.0,309.0,77.25,0
983,8.0,310.0,77.5,0
984,8.0,311.0,77.75,0
985,8.0,312.0,78.0,0
986,8.0,313.0,78.25,0
987,8.0,314.0,78.5,0
988,8.0,315.0,78.75,0
989,8.0,316.0,79.0,0
990,8.0,317.0,79.25,0
991,8.0,318.0,79.5,0
992,8.0,319.0,79.75,0
993,8.0,320.0,80.0,0
994,8.0,321.0,80.25,0
995,8.0,322.0,80.5,0
996,8.0,323.0,80.75,0
997,8.0,324.0,81.0,0
998,8.0,325.0,81.25,0
999,8.0,326.0,81.5,0
1000,8.0,327.0,81.75,0
1013,8.0,340.0,85.0,0
1069,8.0,396.0,99.0,0
1070,8.0,397.0,99.25,0
1071,8.0,398.0,99.5,0
1072,8.0,399.0,99.75,0
1073,8.0,400.0,100.0,0
1074,8.0,401.0,100.25,0
1075,8.0,402.0,100.5,0
1142,8.0,469.0,117.25,0
1143,8.0,470.0,117.5,0
1144,8.0,471.0,117.75,0
1145,8.0,472.0,118.0,0
1146,8.0,473.0,118.25,0
1147,8.0,474.0,118.5,0
1148,8.0,475.0,118.75,0
1149,8.0,476.0,119.0,0
1150,8.0,477.0,119.25,0
1220,8.0,547.0,136.75,0
1221,8.0,548.0,137.0,0
1222,8.0,549.0,137.25,0
1223,8.0,550.0,137.5,0
1224,8.0,551.0,137.75,0
1225,8.0,552.0,138.0,0
1226,8.0,553.0,138.25,0
1227,8.0,554.0,138.5,0
1228,8.0,555.0,138.75,0
1229,8.0,556.0,139.0,0
1230,8.0,557.0,139.25,0
1231,8.0,558.0,139.5,0
1232,8.0,559.0,139.75,0
1233,8.0,560.0,140.0,0
1259,8.0,586.0,146.5,1
2505,10.0,478.0,119.5,0
2506,10.0,479.0,119.75,0
2507,10.0,480.0,120.0,0
2508,10.0,481.0,120.25,0
2509,10.0,482.0,120.5,0
2510,10.0,483.0,120.75,0
2511,10.0,484.0,121.0,0
2512,10.0,485.0,121.25,0
2513,10.0,486.0,121.5,0
2569,10.0,542.0,135.5,0
2755,11.0,51.0,12.75,0
3007,11.0,303.0,75.75,0
3008,11.0,304.0,76.0,0
3009,11.0,305.0,76.25,0
3030,11.0,326.0,81.5,0
3031,11.0,327.0,81.75,0
3032,11.0,328.0,82.0,0
3033,11.0,329.0,82.25,0
3038,11.0,334.0,83.5,0
3048,11.0,344.0,86.0,0
3049,11.0,345.0,86.25,0
3050,11.0,346.0,86.5,0
3051,11.0,347.0,86.75,0
3052,11.0,348.0,87.0,0
3053,11.0,349.0,87.25,0
3062,11.0,358.0,89.5,0
3063,11.0,359.0,89.75,0
3064,11.0,360.0,90.0,0
3065,11.0,361.0,90.25,0
3066,11.0,362.0,90.5,0
3067,11.0,363.0,90.75,0
3068,11.0,364.0,91.0,0
3069,11.0,365.0,91.25,0
3070,11.0,366.0,91.5,0
3071,11.0,367.0,91.75,0
3072,11.0,368.0,92.0,0
3073,11.0,369.0,92.25,0
3074,11.0,370.0,92.5,0
3075,11.0,371.0,92.75,0
3076,11.0,372.0,93.0,0
3077,11.0,373.0,93.25,0
3078,11.0,374.0,93.5,1
3079,11.0,375.0,93.75,1
3080,11.0,376.0,94.0,1
3081,11.0,377.0,94.25,1
3082,11.0,378.0,94.5,1
3083,11.0,379.0,94.75,1
3084,11.0,380.0,95.0,1
3085,11.0,381.0,95.25,1
3086,11.0,382.0,95.5,1
3087,11.0,383.0,95.75,1
3088,11.0,384.0,96.0,1
3089,11.0,385.0,96.25,1
3090,11.0,386.0,96.5,1
3091,11.0,387.0,96.75,1
3092,11.0,388.0,97.0,1
3093,11.0,389.0,97.25,1
3094,11.0,390.0,97.5,1
3095,11.0,391.0,97.75,1
3096,11.0,392.0,98.0,1
3097,11.0,393.0,98.25,0
3098,11.0,394.0,98.5,0
3099,11.0,395.0,98.75,0
3100,11.0,396.0,99.0,0
3101,11.0,397.0,99.25,0
3162,11.0,458.0,114.5,0
3163,11.0,459.0,114.75,0
3164,11.0,460.0,115.0,0
3185,11.0,481.0,120.25,0
3186,11.0,482.0,120.5,0
3187,11.0,483.0,120.75,0
3188,11.0,484.0,121.0,0
3189,11.0,485.0,121.25,0
3204,11.0,500.0,125.0,0
3205,11.0,501.0,125.25,0
3206,11.0,502.0,125.5,0
3207,11.0,503.0,125.75,0
3208,11.0,504.0,126.0,0
3215,11.0,511.0,127.75,0
3216,11.0,512.0,128.0,0
3217,11.0,513.0,128.25,0
3218,11.0,514.0,128.5,0
3219,11.0,515.0,128.75,0
3220,11.0,516.0,129.0,0
3221,11.0,517.0,129.25,0
3222,11.0,518.0,129.5,0
3223,11.0,519.0,129.75,0
3224,11.0,520.0,130.0,0
3225,11.0,521.0,130.25,0
3226,11.0,522.0,130.5,0
3227,11.0,523.0,130.75,0
3228,11.0,524.0,131.0,0
3229,11.0,525.0,131.25,0
3230,11.0,526.0,131.5,0
3231,11.0,527.0,131.75,0
3232,11.0,528.0,132.0,0
3233,11.0,529.0,132.25,0
3234,11.0,530.0,132.5,0
3235,11.0,531.0,132.75,0
3236,11.0,532.0,133.0,0
3237,11.0,533.0,133.25,0
3238,11.0,534.0,133.5,0
3239,11.0,535.0,133.75,0
3240,11.0,536.0,134.0,0
3241,11.0,537.0,134.25,0
3242,11.0,538.0,134.5,0
3243,11.0,539.0,134.75,0
3244,11.0,540.0,135.0,0
3245,11.0,541.0,135.25,0
3246,11.0,542.0,135.5,0
3247,11.0,543.0,135.75,0
3248,11.0,544.0,136.0,0
3249,11.0,545.0,136.25,0
3250,11.0,546.0,136.5,0
3251,11.0,547.0,136.75,0
3252,11.0,548.0,137.0,0
3253,11.0,549.0,137.25,0
3254,11.0,550.0,137.5,0
3255,11.0,551.0,137.75,0
3256,11.0,552.0,138.0,0
3257,11.0,553.0,138.25,0
3263,11.0,559.0,139.75,0
3264,11.0,560.0,140.0,0
